Module                  Size  Used by
modulo                 12288  0
serio_raw              20480  0
rfcomm                102400  4
ccm                    20480  9
cmac                   12288  2
algif_hash             12288  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
ip6t_REJECT            12288  1
nf_reject_ipv6         24576  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
ipt_REJECT             12288  1
nf_reject_ipv4         12288  1 ipt_REJECT
xt_LOG                 16384  10
nf_log_syslog          20480  10
nft_limit              16384  13
xt_limit               12288  0
xt_addrtype            12288  4
xt_tcpudp              16384  80
xt_conntrack           12288  16
nf_conntrack          196608  1 xt_conntrack
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nft_compat             20480  137
nf_tables             372736  566 nft_compat,nft_limit
libcrc32c              12288  2 nf_conntrack,nf_tables
nfnetlink              20480  2 nft_compat,nf_tables
binfmt_misc            24576  1
uvcvideo              139264  0
videobuf2_vmalloc      20480  1 uvcvideo
nls_iso8859_1          12288  1
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
btusb                  77824  0
rtsx_usb_ms            24576  0
videodev              356352  2 videobuf2_v4l2,uvcvideo
btrtl                  32768  1 btusb
btintel                57344  1 btusb
snd_sof_pci_intel_skl    12288  0
btbcm                  24576  1 btusb
btmtk                  12288  1 btusb
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_sof_intel_hda_common   217088  1 snd_sof_pci_intel_skl
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
soundwire_intel        73728  1 snd_sof_intel_hda_common
memstick               28672  1 rtsx_usb_ms
snd_sof_intel_hda_mlink    45056  2 soundwire_intel,snd_sof_intel_hda_common
bluetooth            1028096  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
soundwire_cadence      45056  1 soundwire_intel
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_skl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
input_leds             12288  0
ecdh_generic           16384  1 bluetooth
snd_sof               380928  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
ecc                    45056  1 ecdh_generic
snd_sof_utils          16384  1 snd_sof
soundwire_generic_allocation    12288  1 soundwire_intel
soundwire_bus         110592  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_soc_avs           188416  0
snd_soc_hda_codec      24576  1 snd_soc_avs
snd_soc_skl           208896  0
snd_soc_hdac_hda       24576  2 snd_sof_intel_hda_common,snd_soc_skl
snd_hda_ext_core       32768  7 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_soc_skl,snd_sof_intel_hda
snd_soc_sst_ipc        20480  1 snd_soc_skl
snd_soc_sst_dsp        36864  1 snd_soc_skl
snd_soc_acpi_intel_match    98304  3 snd_sof_intel_hda_common,snd_soc_skl,snd_sof_pci_intel_skl
snd_hda_codec_hdmi     94208  1
snd_ctl_led            24576  0
snd_soc_acpi           16384  3 snd_soc_acpi_intel_match,snd_sof_intel_hda_common,snd_soc_skl
snd_soc_core          442368  7 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl
snd_hda_codec_realtek   200704  1
intel_rapl_msr         20480  0
mei_hdcp               28672  0
mei_pxp                16384  0
snd_compress           28672  2 snd_soc_avs,snd_soc_core
iwlmvm                872448  0
dell_laptop            32768  0
intel_rapl_common      40960  1 intel_rapl_msr
ac97_bus               12288  1 snd_soc_core
